id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1289712308386553856,1289698940816887809,1596326350000,2020-08-01,18:59:10,-0500,40760517,bachelor99,marc suave,,Excellent decision you will thrive in Aggieland #AggieNetwork #GigemGang21,en,"['kendaldaniels__', 'coachish_tamu', 'coachelko', 'brandondrumm247', 'demonddemas1']",[],[],0,0,1,"['#aggienetwork', '#gigemgang21']",[],https://twitter.com/bachelor99/status/1289712308386553856,False,,0,,,,,,,,"[{'user_id': '40760517', 'username': 'bachelor99'}, {'user_id': '907990063627358208', 'username': 'KendalDaniels__'}, {'user_id': '703298578995945473', 'username': 'CoachIsh_TAMU'}, {'user_id': '1029833575229808644', 'username': 'coachelko'}, {'user_id': '2745914650', 'username': 'BrandonDrumm247'}, {'user_id': '827247007299489792', 'username': 'DemondDemas1'}]",,,,
1289711436936163328,1289698940816887809,1596326142000,2020-08-01,18:55:42,-0500,2279881110,chuchingson,Huchnberg,,HELL YEAH GIG’EM  BOOMUH,en,"['kendaldaniels__', 'aggiefootball', 'coachish_tamu', 'coachelko', 'brandondrumm247', 'demonddemas1']",[],[],0,0,0,[],[],https://twitter.com/CHuchingson/status/1289711436936163328,False,,0,,,,,,,,"[{'user_id': '2279881110', 'username': 'CHuchingson'}, {'user_id': '907990063627358208', 'username': 'KendalDaniels__'}, {'user_id': '57436774', 'username': 'AggieFootball'}, {'user_id': '703298578995945473', 'username': 'CoachIsh_TAMU'}, {'user_id': '1029833575229808644', 'username': 'coachelko'}, {'user_id': '2745914650', 'username': 'BrandonDrumm247'}, {'user_id': '827247007299489792', 'username': 'DemondDemas1'}]",,,,
1289710216154460160,1289699924104433664,1596325851000,2020-08-01,18:50:51,-0500,833047187357593600,ohaggie17,Jonathan Failor '17,,Stogie gonna taste extra good tonight!,en,"['coachish_tamu', 'txagftbl']",[],[],0,0,1,[],[],https://twitter.com/ohAGGIE17/status/1289710216154460160,False,,0,,,,,,,,"[{'user_id': '833047187357593600', 'username': 'ohAGGIE17'}, {'user_id': '703298578995945473', 'username': 'CoachIsh_TAMU'}, {'user_id': '337374372', 'username': 'txagftbl'}]",,,,
1289710021891125248,1289698940816887809,1596325805000,2020-08-01,18:50:05,-0500,1121232460661047296,paulapuckett14,LadySooner,,Congratulations! Ball out young man!,en,"['kendaldaniels__', 'coachish_tamu', 'coachelko', 'brandondrumm247', 'demonddemas1']",[],[],0,0,2,[],[],https://twitter.com/PaulaPuckett14/status/1289710021891125248,False,,0,,,,,,,,"[{'user_id': '1121232460661047296', 'username': 'PaulaPuckett14'}, {'user_id': '907990063627358208', 'username': 'KendalDaniels__'}, {'user_id': '703298578995945473', 'username': 'CoachIsh_TAMU'}, {'user_id': '1029833575229808644', 'username': 'coachelko'}, {'user_id': '2745914650', 'username': 'BrandonDrumm247'}, {'user_id': '827247007299489792', 'username': 'DemondDemas1'}]",,,,
1289709748963569667,1289699233579143168,1596325740000,2020-08-01,18:49:00,-0500,1146255750928486401,tamu_insider,Texas A&M Insider,,OU fans taking the news well pic.twitter.com/fkWC4UhCt5,en,[],[],"['https://pbs.twimg.com/media/EeX4K6rX0AAvhlW.jpg', 'https://pbs.twimg.com/media/EeX4LUDXgAEnQLw.jpg', 'https://pbs.twimg.com/media/EeX4Li6WAAAXMBK.jpg']",2,0,9,[],[],https://twitter.com/TAMU_Insider/status/1289709748963569667,False,,0,,,,,,,,"[{'user_id': '1146255750928486401', 'username': 'TAMU_Insider'}]",,,,
1289709413712850946,1289709413712850946,1596325660000,2020-08-01,18:47:40,-0500,24348722,presidentcal,Presidentcal,,How is it possible to dislike Manziel at TAMU,en,[],[],[],0,0,1,[],[],https://twitter.com/presidentcal/status/1289709413712850946,False,,0,,,,,,,,"[{'user_id': '24348722', 'username': 'presidentcal'}]",,,,
1289708733791051778,1289698940816887809,1596325498000,2020-08-01,18:44:58,-0500,26920188,mathison5,Scott Mathison,,Congrats man. Go represent our state well.,en,"['kendaldaniels__', 'coachish_tamu', 'coachelko', 'brandondrumm247', 'demonddemas1']",[],[],0,0,1,[],[],https://twitter.com/mathison5/status/1289708733791051778,False,,0,,,,,,,,"[{'user_id': '26920188', 'username': 'mathison5'}, {'user_id': '907990063627358208', 'username': 'KendalDaniels__'}, {'user_id': '703298578995945473', 'username': 'CoachIsh_TAMU'}, {'user_id': '1029833575229808644', 'username': 'coachelko'}, {'user_id': '2745914650', 'username': 'BrandonDrumm247'}, {'user_id': '827247007299489792', 'username': 'DemondDemas1'}]",,,,
1289708663616094209,1288250885160632320,1596325481000,2020-08-01,18:44:41,-0500,1246545858696564737,thumatexas,Joshua Thuma,,You need to change the mask policy to voluntary and within 6 feet of contact within a person. Or make it easy for anyone to get a waiver- I feel shamed for not wearing one. That's ridiculous!,en,['tamu'],[],[],1,0,1,[],[],https://twitter.com/thumatexas/status/1289708663616094209,False,,0,,,,,,,,"[{'user_id': '1246545858696564737', 'username': 'thumatexas'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1289707837992521728,1289698940816887809,1596325284000,2020-08-01,18:41:24,-0500,1200450743704141824,robrichokla,RobRich405,,Congrats 😳,en,"['kendaldaniels__', 'coachish_tamu', 'coachelko', 'brandondrumm247', 'demonddemas1']",[],[],0,0,0,[],[],https://twitter.com/RobRichOkla/status/1289707837992521728,False,,0,,,,,,,,"[{'user_id': '1200450743704141824', 'username': 'RobRichOkla'}, {'user_id': '907990063627358208', 'username': 'KendalDaniels__'}, {'user_id': '703298578995945473', 'username': 'CoachIsh_TAMU'}, {'user_id': '1029833575229808644', 'username': 'coachelko'}, {'user_id': '2745914650', 'username': 'BrandonDrumm247'}, {'user_id': '827247007299489792', 'username': 'DemondDemas1'}]",,,,
1289707767121485824,1289698940816887809,1596325267000,2020-08-01,18:41:07,-0500,1060327364452929536,ingersollcade,Cade Ingersoll,,LETS GOOO,en,"['kendaldaniels__', 'aggiefootball', 'coachish_tamu', 'coachelko', 'brandondrumm247', 'demonddemas1']",[],[],0,0,0,[],[],https://twitter.com/IngersollCade/status/1289707767121485824,False,,0,,,,,,,,"[{'user_id': '1060327364452929536', 'username': 'IngersollCade'}, {'user_id': '907990063627358208', 'username': 'KendalDaniels__'}, {'user_id': '57436774', 'username': 'AggieFootball'}, {'user_id': '703298578995945473', 'username': 'CoachIsh_TAMU'}, {'user_id': '1029833575229808644', 'username': 'coachelko'}, {'user_id': '2745914650', 'username': 'BrandonDrumm247'}, {'user_id': '827247007299489792', 'username': 'DemondDemas1'}]",,,,
