id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1292972894188908544,1292972894188908544,1597103734000,2020-08-10,18:55:34,-0500,293165434,tamu_lyons,Kat 73%⛈,,Soooo what is it with boys who dont cut their nails... like it looks really gross if you dont keep it manicured at least a little bit... I mean I know I'm not wrong. Like you could be cute.. and I'd still be like ew...,en,[],[],[],0,0,6,[],[],https://twitter.com/Tamu_Lyons/status/1292972894188908544,False,,0,,,,,,,,"[{'user_id': '293165434', 'username': 'Tamu_Lyons'}]",,,,
1292972773850185728,1292904833729605632,1597103706000,2020-08-10,18:55:06,-0500,705517193023373312,davidlambex,David Lamb,,"um, no.  that ship sailed.  SEC is the place for TAMU.",en,['setholiveras'],[],[],1,0,0,[],[],https://twitter.com/DavidlambEX/status/1292972773850185728,False,,0,,,,,,,,"[{'user_id': '705517193023373312', 'username': 'DavidlambEX'}, {'user_id': '877986965412556800', 'username': 'SethOliveras'}]",,,,
1292971300625846273,1292906457718022144,1597103354000,2020-08-10,18:49:14,-0500,3278035130,yuvi_tamu,Yuvi tamu,,is there any possibility of stylus on foldables any time soon?,en,"['dsccross', 'bengeskin']",[],[],1,0,1,[],[],https://twitter.com/yuvi_tamu/status/1292971300625846273,False,,0,,,,,,,,"[{'user_id': '3278035130', 'username': 'yuvi_tamu'}, {'user_id': '743134180737880064', 'username': 'DSCCRoss'}, {'user_id': '391160098', 'username': 'BenGeskin'}]",,,,
1292969670241325056,1292969670241325056,1597102966000,2020-08-10,18:42:46,-0500,71880268,tylertxusa,TylerTxUSA,,"@SportsSturm  have dropped your daughter off at TAMU?
“Tears in me eyes”  pic.twitter.com/z0y5gLL6Ob",en,['sportssturm'],[],['https://pbs.twimg.com/media/EfGNDNDXkAMpsbw.jpg'],1,0,0,[],[],https://twitter.com/tylertxusa/status/1292969670241325056,False,,0,,,,,,,,"[{'user_id': '71880268', 'username': 'tylertxusa'}, {'user_id': '44159806', 'username': 'SportsSturm'}]",,,,
1292967750248300545,1292967750248300545,1597102508000,2020-08-10,18:35:08,-0500,860680646,ambergutschlag,Amber,,I wholeheartedly believe this would be the year @TAMU wins the national championship...and of course there will be an asterisk by it  https://twitter.com/MarkDavis/status/1292957293714329603 …,en,['tamu'],['https://twitter.com/MarkDavis/status/1292957293714329603'],[],0,0,0,[],[],https://twitter.com/AmberGutschlag/status/1292967750248300545,False,https://twitter.com/MarkDavis/status/1292957293714329603,0,,,,,,,,"[{'user_id': '860680646', 'username': 'AmberGutschlag'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1292967489807286280,1292899637637132290,1597102446000,2020-08-10,18:34:06,-0500,2361785665,qrss_test,QRSS,,"Hey, where is @TAMU in this? Gotta have the Aggies.",en,"['roywoodjr', 'tamu']",[],[],0,0,0,[],[],https://twitter.com/QRSS_Test/status/1292967489807286280,False,,0,,,,,,,,"[{'user_id': '2361785665', 'username': 'QRSS_Test'}, {'user_id': '41761325', 'username': 'roywoodjr'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1292967444227776514,1162028228539797504,1597102435000,2020-08-10,18:33:55,-0500,1226550540,drkolekop,Kole Kopnicky,,This is Richard & @odieloves42 at the final 42 table at the Dixie Chicken domino tourney! Like the final table at the @WSOP in Vegas but for 42! @42_waterloo,en,"['42kent', 'davidwalkerqb', 'olemissevie', 'richardallenhay', 'n42pa', 'thedixiechicken', 'lylelovett', 'floridagators', 'cityofcs', 'aggiefootball', 'tamu', 'odieloves42', 'wsop', '42_waterloo']",[],[],1,0,6,[],[],https://twitter.com/drkolekop/status/1292967444227776514,False,,0,,,,,,,,"[{'user_id': '1226550540', 'username': 'drkolekop'}, {'user_id': '3279716335', 'username': '42Kent'}, {'user_id': '308078661', 'username': 'DavidWalkerQB'}, {'user_id': '1216683678', 'username': 'OleMissEvie'}, {'user_id': '15972942', 'username': 'richardallenhay'}, {'user_id': '806974748307623937', 'username': 'N42PA'}, {'user_id': '91579220', 'username': 'thedixiechicken'}, {'user_id': '57113624', 'username': 'LyleLovett'}, {'user_id': '30870308', 'username': 'FloridaGators'}, {'user_id': '20103339', 'username': 'CityofCS'}, {'user_id': '57436774', 'username': 'AggieFootball'}, {'user_id': '17237540', 'username': 'TAMU'}, {'user_id': '2993892840', 'username': 'odieloves42'}, {'user_id': '19794115', 'username': 'WSOP'}, {'user_id': '1050959314872147973', 'username': '42_waterloo'}]",,,,
1292967243584811008,1162028228539797504,1597102387000,2020-08-10,18:33:07,-0500,1216683678,olemissevie,Evie Van Pelt,,"You’re absolutely right. And he was named SWC Freshman of the Year, playing the entirety of the season as a 17-year-old. Pretty impressive if you think about it! @DavidWalkerQB still holds the NCAA record for youngest starting QB in college football history. 💪🏻🔥",en,"['drkolekop', 'richardallenhay', 'davidwalkerqb', '42kent', 'n42pa', 'thedixiechicken', 'lylelovett', 'floridagators', 'cityofcs', 'aggiefootball', 'tamu']",[],[],0,0,4,[],[],https://twitter.com/OleMissEvie/status/1292967243584811008,False,,0,,,,,,,,"[{'user_id': '1216683678', 'username': 'OleMissEvie'}, {'user_id': '1226550540', 'username': 'drkolekop'}, {'user_id': '15972942', 'username': 'richardallenhay'}, {'user_id': '308078661', 'username': 'DavidWalkerQB'}, {'user_id': '3279716335', 'username': '42Kent'}, {'user_id': '806974748307623937', 'username': 'N42PA'}, {'user_id': '91579220', 'username': 'thedixiechicken'}, {'user_id': '57113624', 'username': 'LyleLovett'}, {'user_id': '30870308', 'username': 'FloridaGators'}, {'user_id': '20103339', 'username': 'CityofCS'}, {'user_id': '57436774', 'username': 'AggieFootball'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1292966951501914113,1292956871603691521,1597102318000,2020-08-10,18:31:58,-0500,460715569,cooldennis11,Dennis,,Congrats,en,"['papajawnz', 'tamu']",[],[],0,0,0,[],[],https://twitter.com/cooldennis11/status/1292966951501914113,False,,0,,,,,,,,"[{'user_id': '460715569', 'username': 'cooldennis11'}, {'user_id': '2667392988', 'username': 'PapaJawnz'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1292966929137676288,1292946271636881408,1597102312000,2020-08-10,18:31:52,-0500,1253512934430371841,i_jonny_,Jonny,,Curious by the other guys logic: does that mean the Florida can claim Cam? Does TAMU get to claim Murray? Does TTU get to claim Baker? Does Bama get to claim Tua’s little brother?,en,"['jblazenyc', 'straightillin48', 'joelklatt', 'colincowherd']",[],[],1,0,0,[],[],https://twitter.com/I_Jonny_/status/1292966929137676288,False,,0,,,,,,,,"[{'user_id': '1253512934430371841', 'username': 'I_Jonny_'}, {'user_id': '529080217', 'username': 'JblazeNYC'}, {'user_id': '3038628330', 'username': 'straightillin48'}, {'user_id': '271130230', 'username': 'joelklatt'}, {'user_id': '52529896', 'username': 'ColinCowherd'}]",,,,
