id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1290797644814704645,1290797644814704645,1596585115000,2020-08-04,18:51:55,-0500,1144820320345497600,paigezizka,Paige Zizka,,Honestly not shocked but still sad I won’t be able to race my freshman nationals with @TAMU this year  https://twitter.com/TomZizkaFox26/status/1290777630489194496 …,en,['tamu'],['https://twitter.com/TomZizkaFox26/status/1290777630489194496'],[],0,0,0,[],[],https://twitter.com/PaigeZizka/status/1290797644814704645,False,https://twitter.com/TomZizkaFox26/status/1290777630489194496,0,,,,,,,,"[{'user_id': '1144820320345497600', 'username': 'PaigeZizka'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1290797508671799296,1286662801960861696,1596585082000,2020-08-04,18:51:22,-0500,1284154750775308289,lawrencesross,Sully,,"Hi! If you are referring to me, I’m not a confederate statue. I hope that resolves your concerns!

Thanks and Gig ‘Em!",en,"['nettaduh', 'tamu']",[],[],0,0,1,[],[],https://twitter.com/lawrencesross/status/1290797508671799296,False,,0,,,,,,,,"[{'user_id': '1284154750775308289', 'username': 'lawrencesross'}, {'user_id': '1074843444147838976', 'username': 'nettaduh'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1290795811106967554,1290706835184459776,1596584677000,2020-08-04,18:44:37,-0500,3845868293,coursicle,Coursicle,,"We actually only launched at TAMU this semester. We've been waiting 3 years to do so, but the Registrar only just made the seat information publicly available. Hope you enjoy ❤️",en,['_baileyyann'],[],[],1,1,21,[],[],https://twitter.com/coursicle/status/1290795811106967554,False,,0,,,,,,,,"[{'user_id': '3845868293', 'username': 'coursicle'}, {'user_id': '1199893685766361089', 'username': '_baileyyann'}]",,,,
1290795749811331072,1290795749811331072,1596584663000,2020-08-04,18:44:23,-0500,1070563483933138944,jordanklepser,Jordan Klepser,,"The Polo Rd Garage may block some visibility but now a trail runs by Bonfire Memorial, so more people will see it than ever. Heck yea #tamu  pic.twitter.com/oaQ9nBGOKO",en,[],[],['https://pbs.twimg.com/media/EenT42jWsAAsjq4.jpg'],0,1,25,['#tamu'],[],https://twitter.com/JordanKlepser/status/1290795749811331072,False,,0,,,,,,,,"[{'user_id': '1070563483933138944', 'username': 'JordanKlepser'}]",,,,
1290795340929662980,1290795340929662980,1596584565000,2020-08-04,18:42:45,-0500,386074567,pamelaplotkin,"Pamela Plotkin, Ph.D.",,"Thank you @FlourishTAMU for this beautiful gift box, warm message from @TAMU President Young, and the reminder about how special it is to be an Aggie 🙏🏻  pic.twitter.com/CvZ4QedAEo",en,"['flourishtamu', 'tamu']",[],['https://pbs.twimg.com/media/EenTgbNXgAA4ImV.jpg'],0,1,16,[],[],https://twitter.com/PamelaPlotkin/status/1290795340929662980,False,,0,,,,,,,,"[{'user_id': '386074567', 'username': 'PamelaPlotkin'}, {'user_id': '1182679197757661184', 'username': 'FlourishTAMU'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1290790970972180480,1290790970972180480,1596583523000,2020-08-04,18:25:23,-0500,1140315987482427397,assignment1994,ASSIGNMENTS & ESSAY HELP SERVICE 24/7 +15512927202,,"We are available 24/7

#Research Papers 
#essayhelp
#Paper Pay 
#Someone Write Essay 
#Domyhomework
#CaseStudy
#Literature
#essaypay
#Online classes
#project 

Best GRADE 
Timely delivery
100% legit
0 % plagiarism

#KSU #WSU #FSU #FIU #UCF #NYU #LIU #UNCP #NCAT #TAMU #TWU pic.twitter.com/AEf0fV9bIk",en,[],[],['https://pbs.twimg.com/media/EenPh4wUMAAHu66.jpg'],0,3,1,"['#research', '#essayhelp', '#paper', '#someone', '#domyhomework', '#casestudy', '#literature', '#essaypay', '#online', '#project', '#ksu', '#wsu', '#fsu', '#fiu', '#ucf', '#nyu', '#liu', '#uncp', '#ncat', '#tamu', '#twu']",[],https://twitter.com/Assignment1994/status/1290790970972180480,False,,0,,,,,,,,"[{'user_id': '1140315987482427397', 'username': 'Assignment1994'}]",,,,
1290790838755364865,1281696640370384896,1596583492000,2020-08-04,18:24:52,-0500,985169793236926465,anydadinamerica,Any Dad In America,,That gif also works for taking about when #TAMU last won a national championship.,en,"['mikeoxofloppin', 'clicheolsarge', 'thekellenmond', 'tamuequipment']",[],[],1,0,0,['#tamu'],[],https://twitter.com/AnyDadInAmerica/status/1290790838755364865,False,,0,,,,,,,,"[{'user_id': '985169793236926465', 'username': 'AnyDadInAmerica'}, {'user_id': '1261134086241837059', 'username': 'MikeOxofloppin'}, {'user_id': '933754728298754050', 'username': 'clicheOlSarge'}, {'user_id': '2948221464', 'username': 'TheKellenMond'}, {'user_id': '407458630', 'username': 'TAMUequipment'}]",,,,
1290790835953364992,1290790835953364992,1596583491000,2020-08-04,18:24:51,-0500,1279289370135203840,essayjohnsons,Assignments and Essays Help Services,,"We are available 24/7

#Research Papers 
#essayhelp
#Paper Pay 
#Someone Write Essay 
#Domyhomework
#CaseStudy
#Literature
#essaypay
#Online classes
#project 

Best GRADE 
Timely delivery
100% legit
0 % plagiarism

#KSU #WSU #FSU #FIU #UCF #NYU #LIU #UNCP #NCAT #TAMU #TWU pic.twitter.com/vjaMxHh6vA",en,[],[],['https://pbs.twimg.com/media/EenPZxdUEAASrwW.jpg'],0,1,0,"['#research', '#essayhelp', '#paper', '#someone', '#domyhomework', '#casestudy', '#literature', '#essaypay', '#online', '#project', '#ksu', '#wsu', '#fsu', '#fiu', '#ucf', '#nyu', '#liu', '#uncp', '#ncat', '#tamu', '#twu']",[],https://twitter.com/EssayJohnsons/status/1290790835953364992,False,,0,,,,,,,,"[{'user_id': '1279289370135203840', 'username': 'EssayJohnsons'}]",,,,
1290790774863548416,1288880665518374913,1596583477000,2020-08-04,18:24:37,-0500,1270134854047404034,shawnthomasmin2,shawnthomasminniercurran,,this is shawn t minnier (curran ) I need uncle George now please see comments ag floridas office I need him in please guys my overhead is compromised can you get me from here boyton to you in dallas now please thank you united nations ambassador shawn t minnier uss,en,"['bushfdn', 'bush41library', 'tamu']",[],[],0,0,0,[],[],https://twitter.com/shawnthomasmin2/status/1290790774863548416,False,,0,,,,,,,,"[{'user_id': '1270134854047404034', 'username': 'shawnthomasmin2'}, {'user_id': '293120622', 'username': 'BushFdn'}, {'user_id': '133456403', 'username': 'Bush41Library'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
1290789021908598786,1290789021908598786,1596583059000,2020-08-04,18:17:39,-0500,827616219977154561,sjmehrtens,Savannah J. Mehrtens,,"@TheBattOnline helped me get to where I am today, serving as a place to craft my portfolio, leadership and professional experience. Wether you want to be a journalist professionally or not, this is an amazing team to make memories with at @TAMU! ⬇️  https://twitter.com/TheBattOnline/status/1290777694922321927 …",en,"['thebattonline', 'tamu']",['https://twitter.com/TheBattOnline/status/1290777694922321927'],[],0,3,7,[],[],https://twitter.com/SJMehrtens/status/1290789021908598786,False,https://twitter.com/TheBattOnline/status/1290777694922321927,0,,,,,,,,"[{'user_id': '827616219977154561', 'username': 'SJMehrtens'}, {'user_id': '52884959', 'username': 'TheBattOnline'}, {'user_id': '17237540', 'username': 'TAMU'}]",,,,
